# ----------------------------------------
# JewelMint + subdomains
# Landing Pages
# 20130616-20130723
# ----------------------------------------

Landing Page,Visits,Pages / Visit,Avg. Visit Duration,% New Visits,Bounce Rate
www.jewelmint.com/collections/statement-favorites,149,2.07,00:00:33,100.00%,63.09%
www.youtube.com/user/JewelMint,144,1.83,00:02:14,100.00%,48.61%
www.jewelmint.com/contact-us,139,3.43,00:04:28,100.00%,53.96%
www.jewelmint.com/how-it-works/,139,7.55,00:04:39,100.00%,21.58%
www.jewelmint.com/jewelry/bikini-crystal-small-gold-pendant,139,1.93,00:01:05,100.00%,53.96%
www.jewelmint.com/jewelry/summer-mystery-box,134,2.86,00:01:01,100.00%,48.51%
www.jewelmint.com/account,129,2.19,00:02:57,100.00%,46.51%
www.jewelmint.com/jewelry/majestic-blue-earrings?aid=1$fb$p475$c1832$4356,129,1.35,00:00:46,100.00%,84.50%
www.jewelmint.com/?aid={aid}&pr_id={pr_id}&transaction_id=10220897832506130618,124,2.65,00:00:28,100.00%,67.74%
www.jewelmint.com/collections/buyers-picks,124,2.44,00:01:07,100.00%,67.74%
www.jewelmint.com/jewelry/icon-necklace?aid=1$fb$p475$c1832$4356,124,2.28,00:01:44,100.00%,75.81%
www.jewelmint.com/pages/jm-categories-allinone/?view=best-sellers&filter=show_all&redir_ct=1,124,2.69,00:03:02,100.00%,44.35%
start.jewelmint.com/jm-mobile?aid=1$sem$p1466$c2092$4678&ref=m2lp&dref=http://search.yahoo.com/mobile/s?rewrite=72&.tsrc=apple&first=1&p=jewelmint.com&pintl=en&pcarrier=AT&T=&pmcc=310&pmnc=410&fr=onesearch,119,1.08,00:00:13,100.00%,91.60%
www.jewelmint.com/collections/gift-with-purchase,119,1.97,00:00:23,100.00%,67.23%
www.jewelmint.com/invite/05adaa5e8bf3f9ff942f0e5852e84747&sc=invite-link&utm_source=invite-link&utm_campaign=social-invite,119,5.68,00:03:27,100.00%,54.62%
www.jewelmint.com/pages/jm-categories-allinone/?view=bracelets&filter=show_all&redir_ct=1,119,1.84,00:01:17,100.00%,63.03%
www.jewelmint.com/jewelry/rose-gold-infinity-bracelet?aid=1$fb$p475$c1832$4356,114,1.83,00:00:15,100.00%,95.61%
www.jewelmint.com/collections/jade-dynasty,109,2.87,00:01:16,100.00%,55.05%
www.jewelmint.com/collections/necklaces,109,1.64,00:00:21,100.00%,77.06%
www.jewelmint.com/style-profile?inv=f1b05de49412ad6bcd82abeeac3356b5&sc=invite-link,109,2.64,00:00:21,100.00%,86.24%
www.jewelmint.com/?aid=1$aff$p116$c4672$8832&pr_id={pr_id}&transaction_id=1022121241031166130711,104,1.05,00:00:00,100.00%,95.19%
www.jewelmint.com/collections/collective-bracelets,104,2.87,00:03:03,100.00%,62.50%
www.jewelmint.com/get-started/,104,2.91,00:00:08,100.00%,4.81%
www.jewelmint.com/invite/abaf18e717d150308155388c0a49c895?sc=invite-link,104,5.07,00:04:52,100.00%,33.65%
www.jewelmint.com/jewelry/scene-stealer-necklace,104,3.49,00:01:10,100.00%,43.27%
www.jewelmint.com/login?redir_ct=1,104,4.11,00:02:18,100.00%,76.92%
www.jewelmint.com/pages/jm-categories-allinone?view=rings&filter=show_all,104,1.67,00:00:43,100.00%,95.19%
www.jewelmint.com/collections/collective-earrings,99,1.91,00:01:03,100.00%,60.61%
www.jewelmint.com/collections/jewelmintsale?aid=1$internal-email$p117$c3950$8856,99,2.86,00:04:23,100.00%,55.56%
www.jewelmint.com/collections/red-white-and-jeweled,99,2.76,00:01:22,100.00%,75.76%
www.jewelmint.com/pages/jm-categories-allinone?view=bracelets&filter=show_all,99,1.00,00:00:00,100.00%,100.00%
www.jewelmint.com/pages/jm-categories-allinone/?view=necklaces&filter=show_jewelmint,99,1.30,00:01:14,100.00%,89.90%
www.jewelmint.com/terms-of-service,99,2.01,00:00:52,100.00%,60.61%
start.jewelmint.com/k/fbbib/?fb_source=search&ref=br_tf,94,3.17,00:03:04,100.00%,37.23%
start.jewelmint.com/k/fbbib/?fb_source=search&ref=ts&fref=ts,94,3.28,00:01:01,100.00%,47.87%
